Date,Time,Booking ID,Booking Status,Customer ID,Vehicle Type,Pickup Location,Drop Location,Avg VTAT (mins),Avg CTAT (mins),Cancelled by Customer,Customer Cancellation Reason,Cancelled by Driver,Driver Cancellation Reason,Incomplete Ride,Incomplete Ride Reason,Booking Value (₹),Ride Distance (km),Driver Rating,Customer Rating
29-01-2026,19:37:00,CNR0027344,Successful,CUST74692,Prime SUV,Kamakhya,Chickpet,8.1,4.6,No,,No,,No,,360.47,26.2,4.7,3.9
13-01-2026,21:16:00,CNR0027345,Successful,CUST23039,eBike,Cubbon Park,Whitefield,5.7,4.9,No,,No,,No,,1480.92,10,5,4.2
31-01-2026,12:44:00,CNR0027346,Cancelled by Driver,CUST31225,Prime SUV,Basavanagudi,Rajajinagar,,,No,,Yes,Customer related issue,No,,739.31,,,
14-01-2026,18:41:00,CNR0027347,Successful,CUST70874,Prime Sedan,Peenya,Vijayanagar,8.2,7.7,No,,No,,No,,482.17,5.7,5,3.5
01-01-2026,11:06:00,CNR0027348,Successful,CUST96599,Prime SUV,Rajajinagar,JP Nagar,6.4,6.7,No,,No,,No,,234.32,3.7,4.2,4.4
06-01-2026,18:20:00,CNR0027349,Successful,CUST26661,Prime Sedan,Kolar Road,Rachenahalli,6.6,5.2,No,,No,,No,,485.89,18.9,4.3,3.8
01-01-2026,15:34:00,CNR0027350,Cancelled by Driver,CUST86719,Mini,Rajajinagar,Indiranagar,,,No,,Yes,Personal & Car related issues,No,,311.54,,,
17-01-2026,05:44:00,CNR0027351,Successful,CUST71181,Prime SUV,Koramangala,Rammurthy Nagar,11.6,5.8,No,,No,,No,,488.03,16.3,4.8,4.6
20-01-2026,05:02:00,CNR0027352,Cancelled by Driver,CUST81828,Auto,Yeshwantpur,Brookefield,,,No,,Yes,More than permitted people in there,No,,282.88,,,
06-01-2026,09:19:00,CNR0027353,Cancelled by Driver,CUST31824,Prime SUV,Malleshwaram,Jayanagar,,,No,,Yes,More than permitted people in there,No,,251.69,,,
04-01-2026,23:09:00,CNR0027354,Successful,CUST32795,eBike,Cubbon Park,Hebbal,9.6,2.2,No,,No,,No,,313.41,14.2,3.9,4.2
27-01-2026,17:54:00,CNR0027355,Successful,CUST14234,Auto,Banaswadi,Rajajinagar,8.1,5.8,No,,No,,No,,789.46,28.9,4.9,4.3
18-01-2026,20:26:00,CNR0027356,Cancelled by Driver,CUST96594,Auto,Cubbon Park,Koramangala Extension,,,No,,Yes,The customer was coughing/sick,No,,237.65,,,
29-01-2026,14:48:00,CNR0027357,Incomplete,CUST10833,Prime Sedan,Brookefield,Rammurthy Nagar,,,No,,No,,Yes,Customer Demand,167.78,,,
18-01-2026,15:38:00,CNR0027358,Successful,CUST85176,Mini,Mahadevapura,Basavanagudi,4.5,3.4,No,,No,,No,,991.56,3.3,4.9,4.7
10-01-2026,13:36:00,CNR0027359,Successful,CUST10659,Bike,Koramangala,Kolar Road,8.1,1.6,No,,No,,No,,418.33,25.4,3.7,3.9
12-01-2026,21:55:00,CNR0027360,Successful,CUST31570,Bike,Banaswadi,Jayanagar,9.5,7,No,,No,,No,,619.26,26.3,4.1,4.1
03-01-2026,10:31:00,CNR0027361,Successful,CUST95056,eBike,MG Road,Basavanagudi,11,5.8,No,,No,,No,,187.32,3.9,3.6,4.8
07-01-2026,19:08:00,CNR0027362,Cancelled by Customer,CUST66538,Prime Plus,Kalyan Nagar,Whitefield Phase,,,Yes,AC is not working,No,,No,,491.48,,,
07-01-2026,11:24:00,CNR0027363,Cancelled by Driver,CUST13335,Prime Sedan,Cubbon Park,Brookefield,,,No,,Yes,Personal & Car related issues,No,,847.31,,,
09-01-2026,02:50:00,CNR0027364,Successful,CUST75173,Prime Sedan,Whitefield,HSR Layout,7.1,5.9,No,,No,,No,,408.95,27.6,4,4.2
25-01-2026,07:18:00,CNR0027365,Incomplete,CUST15300,Prime Sedan,Rammurthy Nagar,Brookefield,,,No,,No,,Yes,Other Issue,437.12,,,
10-01-2026,11:04:00,CNR0027366,Cancelled by Customer,CUST79618,Prime Plus,Vidyaranyapura,Jayanagar,,,Yes,AC is not working,No,,No,,644.72,,,
17-01-2026,01:33:00,CNR0027367,Incomplete,CUST76427,Prime Plus,Whitefield Phase,Koramangala Extension,,,No,,No,,Yes,Other Issue,345.58,,,
11-01-2026,09:27:00,CNR0027368,Cancelled by Driver,CUST13419,Mini,Chickpet,Brookefield,,,No,,Yes,Customer related issue,No,,228.77,,,
23-01-2026,01:19:00,CNR0027369,Successful,CUST17888,Auto,Jakkur,Hosur Road,4,6.6,No,,No,,No,,497.11,11.6,4.4,4.8
02-01-2026,02:52:00,CNR0027370,Successful,CUST70456,Mini,Indiranagar,Chickpet,5.9,5.8,No,,No,,No,,381.16,7.1,4.7,3.8
31-01-2026,07:53:00,CNR0027371,Successful,CUST10350,Auto,Rachenahalli,Koramangala,7.4,6.1,No,,No,,No,,265.45,18.8,4.3,4.4
15-01-2026,16:21:00,CNR0027372,Successful,CUST15318,eBike,Kengeri,Rammurthy Nagar,9.9,5.2,No,,No,,No,,309.72,18.8,4,4.9
12-01-2026,08:52:00,CNR0027373,Successful,CUST80943,Prime Plus,Whitefield Phase,MG Road,6.7,6.5,No,,No,,No,,222.01,9.4,4.8,3.6
24-01-2026,14:56:00,CNR0027374,Successful,CUST77479,eBike,Chamrajpet,Mahadevapura,9.8,5.5,No,,No,,No,,388.63,2.9,4.8,4.9
15-01-2026,18:52:00,CNR0027375,Successful,CUST61683,Auto,Mahadevapura,Cubbon Park,5.1,6.3,No,,No,,No,,265.86,12.3,3.8,3.6
30-01-2026,23:30:00,CNR0027376,Cancelled by Driver,CUST76450,Prime SUV,Bagalur,Yelahanka,,,No,,Yes,More than permitted people in there,No,,181.21,,,
07-01-2026,01:32:00,CNR0027377,Cancelled by Customer,CUST56939,eBike,City Market,Shivajinagar,,,Yes,Driver is not moving towards pickup location,No,,No,,463.31,,,
08-01-2026,08:02:00,CNR0027378,Successful,CUST76433,Auto,Connaught Place,Koramangala,10.7,5.4,No,,No,,No,,229.38,28.7,4.4,3.7
21-01-2026,16:15:00,CNR0027379,Cancelled by Driver,CUST12117,Prime SUV,Ulsoor,Gavipuram,,,No,,Yes,More than permitted people in there,No,,165.91,,,
18-01-2026,04:20:00,CNR0027380,Successful,CUST74279,eBike,Bagalur,Whitefield,5.2,8.3,No,,No,,No,,468.97,23.6,3.7,4.5
30-01-2026,01:45:00,CNR0027381,Successful,CUST50450,eBike,Tumkur Road,Connaught Place,3.4,6.1,No,,No,,No,,422.54,7,4.1,3.9
15-01-2026,13:02:00,CNR0027382,Successful,CUST97756,Prime Sedan,JP Nagar,Shivajinagar,8,8.2,No,,No,,No,,534.88,29,4.5,4.8
16-01-2026,02:57:00,CNR0027383,Cancelled by Driver,CUST10360,Prime SUV,Basavanagudi,Outer Ring Road,,,No,,Yes,Customer related issue,No,,724.46,,,
23-01-2026,07:27:00,CNR0027384,Successful,CUST64560,Prime Sedan,Cubbon Park,Mahadevapura,7.3,8,No,,No,,No,,190.03,22.7,4.8,3.7
11-01-2026,13:22:00,CNR0027385,Successful,CUST51483,Prime Plus,Koramangala Extension,Basavanagudi,6.4,5.9,No,,No,,No,,161.93,16.5,3.5,4
06-01-2026,13:55:00,CNR0027386,Successful,CUST25417,Prime Plus,HSR Layout,Hebbal,4.2,7.8,No,,No,,No,,803.05,2.3,3.8,4.1
30-01-2026,23:02:00,CNR0027387,Cancelled by Customer,CUST59295,Mini,Ulsoor,Kolar Road,,,Yes,Change of plans,No,,No,,279.07,,,
19-01-2026,22:59:00,CNR0027388,Successful,CUST66684,eBike,Brookefield,Gavipuram,9.9,7.5,No,,No,,No,,233.08,23.3,3.7,3.7
08-01-2026,01:03:00,CNR0027389,Cancelled by Customer,CUST15217,eBike,Connaught Place,Vidyaranyapura,,,Yes,Driver asked to cancel,No,,No,,847.75,,,
22-01-2026,06:37:00,CNR0027390,Successful,CUST16420,Prime SUV,JP Nagar,Whitefield Phase,10.6,8.7,No,,No,,No,,386.31,14.7,5,4.4
26-01-2026,09:59:00,CNR0027391,Incomplete,CUST68374,Prime Sedan,Marathahalli,Kalyan Nagar,,,No,,No,,Yes,Vehicle Breakdown,229.11,,,
07-01-2026,07:35:00,CNR0027392,Incomplete,CUST56586,Auto,Varthur,Chamrajpet,,,No,,No,,Yes,Other Issue,1200.39,,,
16-01-2026,20:37:00,CNR0027393,Cancelled by Driver,CUST27416,Mini,Frazer Town,Tumkur Road,,,No,,Yes,Personal & Car related issues,No,,198.91,,,
16-01-2026,06:40:00,CNR0027394,Successful,CUST77633,eBike,Mahadevapura,Cubbon Park,10.1,5.8,No,,No,,No,,847.84,13,4.4,3.6
20-01-2026,06:21:00,CNR0027395,Successful,CUST77793,Prime SUV,Mahadevapura,Jayanagar,8.6,6.4,No,,No,,No,,340.66,23.6,3.6,3.7
09-01-2026,20:25:00,CNR0027396,Incomplete,CUST71085,Auto,Electronic City,Vijayanagar,,,No,,No,,Yes,Other Issue,295.73,,,
01-01-2026,18:17:00,CNR0027397,Successful,CUST52654,Prime Plus,Banaswadi,HSR Layout,9.7,5.3,No,,No,,No,,331.99,26.5,3.6,3.7
13-01-2026,01:32:00,CNR0027398,Successful,CUST42897,Prime SUV,Vijayanagar,Connaught Place,7.8,5.6,No,,No,,No,,159.59,25.8,4,4.1
11-01-2026,04:56:00,CNR0027399,Successful,CUST97356,Mini,Jayanagar,Varthur,9.5,6,No,,No,,No,,958.14,14,3.8,4.8
08-01-2026,04:21:00,CNR0027400,Successful,CUST26527,Prime Sedan,Rachenahalli,Banaswadi,5.8,3.9,No,,No,,No,,272.33,26.8,4.6,4.6
20-01-2026,21:51:00,CNR0027401,Successful,CUST16296,Bike,Bannerghatta Road,JP Nagar,10.4,4.2,No,,No,,No,,291.4,15.2,4.5,3.9
14-01-2026,00:41:00,CNR0027402,Successful,CUST62295,Prime Sedan,Richmond Town,Malleshwaram,6,5.7,No,,No,,No,,1430.99,18.2,4.8,3.5
05-01-2026,18:11:00,CNR0027403,Cancelled by Driver,CUST29440,Prime SUV,Banaswadi,Devanahalli,,,No,,Yes,Customer related issue,No,,636.65,,,
07-01-2026,17:35:00,CNR0027404,Cancelled by Customer,CUST39256,Auto,Malleshwaram,Koramangala,,,Yes,Change of plans,No,,No,,288.17,,,
17-01-2026,22:51:00,CNR0027405,Successful,CUST68722,Prime Plus,City Market,Bannerghatta Road,6.7,5.8,No,,No,,No,,431.52,25.8,4.1,4.5
17-01-2026,19:55:00,CNR0027406,Successful,CUST28852,Prime Plus,Rammurthy Nagar,Shivajinagar,7.8,2.5,No,,No,,No,,657.56,13.4,3.7,3.8
24-01-2026,08:56:00,CNR0027407,Cancelled by Driver,CUST73543,Prime Plus,Jakkur,Rajajinagar,,,No,,Yes,More than permitted people in there,No,,264.39,,,
24-01-2026,16:21:00,CNR0027408,Successful,CUST36064,Prime Sedan,City Market,Connaught Place,7.3,6,No,,No,,No,,222.7,24.8,4.9,5
15-01-2026,11:54:00,CNR0027409,Cancelled by Driver,CUST22168,eBike,Frazer Town,Basavanagudi,,,No,,Yes,Customer related issue,No,,281.22,,,
01-01-2026,12:14:00,CNR0027410,Incomplete,CUST30965,Mini,Jayanagar,Basavanagudi,,,No,,No,,Yes,Vehicle Breakdown,432.85,,,
31-01-2026,12:20:00,CNR0027411,Incomplete,CUST22628,eBike,Basavanagudi,Rammurthy Nagar,,,No,,No,,Yes,Vehicle Breakdown,496.94,,,
22-01-2026,07:23:00,CNR0027412,Successful,CUST65095,Prime Plus,Peenya,Electronic City,10.4,4.6,No,,No,,No,,910.24,3.8,4.8,3.8
22-01-2026,07:02:00,CNR0027413,Successful,CUST71681,Prime Plus,Hebbal,Vidyaranyapura,9.8,6.1,No,,No,,No,,365.49,13.2,4.9,4.6
21-01-2026,23:21:00,CNR0027414,Cancelled by Driver,CUST85429,Prime Sedan,Rachenahalli,Hosur Road,,,No,,Yes,Personal & Car related issues,No,,428.53,,,
29-01-2026,22:45:00,CNR0027415,Successful,CUST28280,Bike,Peenya,Bellandur,7.2,6.8,No,,No,,No,,329.6,29.3,4.2,4.6
26-01-2026,05:43:00,CNR0027416,Successful,CUST86833,Prime Sedan,Devanahalli,City Market,7.8,3.5,No,,No,,No,,781.64,14.8,4,4.8
24-01-2026,09:16:00,CNR0027417,Cancelled by Driver,CUST61742,Mini,Kamakhya,City Market,,,No,,Yes,The customer was coughing/sick,No,,438.91,,,
28-01-2026,17:49:00,CNR0027418,Incomplete,CUST42143,Prime Sedan,Jakkur,Jayanagar,,,No,,No,,Yes,Other Issue,810.11,,,
21-01-2026,18:04:00,CNR0027419,Successful,CUST14353,Mini,Electronic City,Whitefield,8.1,4.9,No,,No,,No,,824.01,20.8,4.7,4.2
28-01-2026,10:30:00,CNR0027420,Successful,CUST10773,Mini,Electronic City,Cubbon Park,8.3,8.5,No,,No,,No,,391.92,24.8,4.9,4.6
04-01-2026,17:54:00,CNR0027421,Successful,CUST37382,Bike,OMR Road,Kamakhya,6.5,6.9,No,,No,,No,,808.15,13.2,3.8,4.5
21-01-2026,18:08:00,CNR0027422,Successful,CUST48564,eBike,Tumkur Road,Hebbal,8.5,8.7,No,,No,,No,,678.55,18.8,4,3.6
22-01-2026,23:12:00,CNR0027423,Cancelled by Driver,CUST96748,Auto,Devanahalli,Brookefield,,,No,,Yes,Personal & Car related issues,No,,419.19,,,
23-01-2026,05:45:00,CNR0027424,Cancelled by Driver,CUST10782,Bike,Varthur,Banaswadi,,,No,,Yes,Personal & Car related issues,No,,663.1,,,
23-01-2026,07:24:00,CNR0027425,Cancelled by Driver,CUST74941,Prime Plus,Tumkur Road,Kengeri,,,No,,Yes,Personal & Car related issues,No,,167.2,,,
04-01-2026,02:45:00,CNR0027426,Successful,CUST88174,eBike,Marathahalli,Sarjapur,6.2,7.4,No,,No,,No,,161.27,13.2,3.9,4.9
02-01-2026,20:17:00,CNR0027427,Successful,CUST23678,Prime Sedan,Hosur Road,Yelahanka,6.4,6.3,No,,No,,No,,277.22,25.3,3.8,4
19-01-2026,06:31:00,CNR0027428,Cancelled by Customer,CUST31525,Prime Sedan,Devanahalli,Jakkur,,,Yes,Wrong Address,No,,No,,108.66,,,
23-01-2026,03:08:00,CNR0027429,Successful,CUST33037,Auto,Connaught Place,Jakkur,10.6,4.1,No,,No,,No,,201.19,29.9,4.1,4.3
02-01-2026,09:23:00,CNR0027430,Cancelled by Driver,CUST33355,Prime Sedan,Ulsoor,Brookefield,,,No,,Yes,More than permitted people in there,No,,366.75,,,
26-01-2026,23:15:00,CNR0027431,Cancelled by Driver,CUST90114,Prime Plus,Indiranagar,Varthur,,,No,,Yes,The customer was coughing/sick,No,,815.75,,,
20-01-2026,06:36:00,CNR0027432,Successful,CUST94512,eBike,Sarjapur,Hebbal,5,5.8,No,,No,,No,,1873.9,8.1,4.9,4.3
07-01-2026,18:08:00,CNR0027433,Successful,CUST72521,Mini,MG Road,Outer Ring Road,6.3,5.2,No,,No,,No,,495.82,22,4.8,4.9
28-01-2026,06:57:00,CNR0027434,Cancelled by Customer,CUST33248,Mini,Peenya,Jakkur,,,Yes,Driver asked to cancel,No,,No,,407.87,,,
14-01-2026,12:51:00,CNR0027435,Successful,CUST57835,eBike,Chickpet,Devanahalli,9.7,3.6,No,,No,,No,,131.72,13.7,3.8,3.6
25-01-2026,16:08:00,CNR0027436,Successful,CUST38109,Prime Plus,Tumkur Road,Jayanagar,7.7,2.9,No,,No,,No,,454.19,10.8,3.9,4
22-01-2026,20:55:00,CNR0027437,Cancelled by Customer,CUST69244,Prime Sedan,Mahadevapura,Vidyaranyapura,,,Yes,Driver is not moving towards pickup location,No,,No,,971.73,,,
03-01-2026,20:07:00,CNR0027438,Cancelled by Driver,CUST62948,Auto,JP Nagar,Ulsoor,,,No,,Yes,Customer related issue,No,,388.31,,,
24-01-2026,07:11:00,CNR0027439,Cancelled by Customer,CUST36690,Bike,Bellandur,Gavipuram,,,Yes,Wrong Address,No,,No,,181.55,,,
10-01-2026,08:18:00,CNR0027440,Successful,CUST89847,Bike,Vijayanagar,Rachenahalli,7.8,5.4,No,,No,,No,,1826.14,6.8,4.9,4.5
09-01-2026,02:59:00,CNR0027441,Successful,CUST56598,eBike,Banaswadi,Bannerghatta Road,6.5,7.9,No,,No,,No,,466.59,9.3,4.5,3.7
12-01-2026,16:46:00,CNR0027442,Incomplete,CUST47259,Auto,City Market,Rammurthy Nagar,,,No,,No,,Yes,Vehicle Breakdown,522.34,,,
29-01-2026,23:09:00,CNR0027443,Incomplete,CUST74166,Bike,Richmond Town,Koramangala,,,No,,No,,Yes,Customer Demand,394.27,,,
27-01-2026,11:58:00,CNR0027444,Successful,CUST19307,Prime Sedan,Whitefield Phase,Outer Ring Road,5.6,5.1,No,,No,,No,,927.67,10.4,4.6,4.4
18-01-2026,07:12:00,CNR0027445,Successful,CUST93550,Prime SUV,Jakkur,Whitefield,10.2,6.3,No,,No,,No,,123.3,12.4,4,3.5
23-01-2026,07:06:00,CNR0027446,Cancelled by Driver,CUST19154,Prime SUV,Chickpet,Shivajinagar,,,No,,Yes,More than permitted people in there,No,,462.22,,,
09-01-2026,01:19:00,CNR0027447,Successful,CUST21851,eBike,Whitefield Phase,Kalyan Nagar,10.1,5,No,,No,,No,,589.36,2.6,5,4.2
21-01-2026,15:31:00,CNR0027448,Successful,CUST42575,Prime Sedan,Hebbal,Bellandur,7.1,3.2,No,,No,,No,,547.85,18.8,4.1,4.9
13-01-2026,02:23:00,CNR0027449,Incomplete,CUST41519,Prime Plus,Kengeri,Jayanagar,,,No,,No,,Yes,Other Issue,196.44,,,
01-01-2026,19:39:00,CNR0027450,Successful,CUST95660,Auto,Kolar Road,Kamakhya,7.5,4.2,No,,No,,No,,159.01,17.9,4.5,4.4
17-01-2026,02:36:00,CNR0027451,Cancelled by Customer,CUST19100,eBike,Indiranagar,Outer Ring Road,,,Yes,Change of plans,No,,No,,159.75,,,
13-01-2026,07:29:00,CNR0027452,Cancelled by Driver,CUST40923,Prime Sedan,Hebbal,Whitefield Phase,,,No,,Yes,More than permitted people in there,No,,300.14,,,
01-01-2026,02:33:00,CNR0027453,Cancelled by Driver,CUST66112,Bike,Bagalur,Gavipuram,,,No,,Yes,Customer related issue,No,,538.08,,,
07-01-2026,18:13:00,CNR0027454,Cancelled by Driver,CUST74442,Prime Plus,OMR Road,Kalyan Nagar,,,No,,Yes,Customer related issue,No,,496.22,,,
30-01-2026,17:32:00,CNR0027455,Cancelled by Customer,CUST71593,Mini,JP Nagar,Kamakhya,,,Yes,Driver asked to cancel,No,,No,,1622.73,,,
15-01-2026,08:03:00,CNR0027456,Successful,CUST53536,Prime Plus,Whitefield,Kengeri,13.5,6.6,No,,No,,No,,988.32,20.5,3.9,3.6
06-01-2026,18:01:00,CNR0027457,Successful,CUST12531,eBike,Hosur Road,Chickpet,6.8,5.7,No,,No,,No,,235.66,3.6,4.8,3.6
05-01-2026,03:27:00,CNR0027458,Successful,CUST89237,Prime Plus,Outer Ring Road,Chamrajpet,8.8,7.3,No,,No,,No,,423.24,23.4,4.6,3.5
10-01-2026,19:52:00,CNR0027459,Successful,CUST83170,Auto,Bannerghatta Road,Electronic City,8.2,6.2,No,,No,,No,,308.06,21.4,4,4.4
28-01-2026,00:44:00,CNR0027460,Incomplete,CUST83719,Mini,Sarjapur,Electronic City,,,No,,No,,Yes,Customer Demand,392.25,,,
03-01-2026,21:22:00,CNR0027461,Cancelled by Driver,CUST49571,Prime Plus,Kolar Road,Jakkur,,,No,,Yes,Customer related issue,No,,363.36,,,
12-01-2026,11:16:00,CNR0027462,Incomplete,CUST61056,Auto,Indiranagar,JP Nagar,,,No,,No,,Yes,Vehicle Breakdown,141.08,,,
06-01-2026,11:22:00,CNR0027463,Incomplete,CUST76654,Prime Plus,Gavipuram,Banaswadi,,,No,,No,,Yes,Other Issue,297.81,,,
10-01-2026,22:19:00,CNR0027464,Successful,CUST39563,Prime Sedan,Vidyaranyapura,Koramangala Extension,5.5,7.2,No,,No,,No,,649.13,28.8,4.3,5
24-01-2026,15:19:00,CNR0027465,Successful,CUST33562,Auto,Rajajinagar,Tumkur Road,5,6.3,No,,No,,No,,152.18,7.9,4.8,4.8
06-01-2026,04:22:00,CNR0027466,Successful,CUST40447,Auto,Mahadevapura,Vidyaranyapura,6.8,7.1,No,,No,,No,,869,3.2,3.8,4
27-01-2026,03:59:00,CNR0027467,Successful,CUST46673,Bike,Bannerghatta Road,Jakkur,10.6,5.6,No,,No,,No,,194.89,13.6,3.8,3.7
30-01-2026,09:42:00,CNR0027468,Incomplete,CUST36965,eBike,Bagalur,Devanahalli,,,No,,No,,Yes,Customer Demand,125.85,,,
05-01-2026,13:52:00,CNR0027469,Cancelled by Customer,CUST82496,Prime Sedan,Connaught Place,Rammurthy Nagar,,,Yes,Driver asked to cancel,No,,No,,266.51,,,
04-01-2026,18:06:00,CNR0027470,Successful,CUST17019,Bike,Vijayanagar,Devanahalli,9,6.7,No,,No,,No,,332.48,26,4.9,3.8
18-01-2026,17:16:00,CNR0027471,Successful,CUST81360,Mini,Koramangala Extension,Bagalur,11.3,7.1,No,,No,,No,,463.65,9.3,4.5,4.9
14-01-2026,00:33:00,CNR0027472,Successful,CUST34073,Prime SUV,Hosur Road,Varthur,8.2,4.6,No,,No,,No,,216.1,2.3,4.1,3.9
30-01-2026,15:18:00,CNR0027473,Successful,CUST65441,eBike,Vidyaranyapura,Yelahanka,6.1,5.9,No,,No,,No,,335.4,5,4.7,3.9
28-01-2026,00:28:00,CNR0027474,Successful,CUST27772,Mini,Chamrajpet,Malleshwaram,8.7,7.4,No,,No,,No,,373.18,20.1,4.9,4.5
24-01-2026,07:18:00,CNR0027475,Successful,CUST40730,Auto,Rammurthy Nagar,Richmond Town,4.9,3.4,No,,No,,No,,887.75,10.5,4.1,4.2
02-01-2026,19:47:00,CNR0027476,Cancelled by Driver,CUST88838,Bike,Tumkur Road,Shivajinagar,,,No,,Yes,More than permitted people in there,No,,472.33,,,
18-01-2026,18:43:00,CNR0027477,Cancelled by Customer,CUST21972,Prime Sedan,Kengeri,Basavanagudi,,,Yes,AC is not working,No,,No,,187.77,,,
09-01-2026,21:12:00,CNR0027478,Incomplete,CUST21046,Prime SUV,Electronic City,Bagalur,,,No,,No,,Yes,Other Issue,684.79,,,
30-01-2026,00:32:00,CNR0027479,Successful,CUST38280,Prime Sedan,Kolar Road,Chickpet,11.9,3.8,No,,No,,No,,235.09,7.2,3.8,5
05-01-2026,14:35:00,CNR0027480,Successful,CUST85518,Prime SUV,Sarjapur,Jakkur,7.9,3.4,No,,No,,No,,195.31,12.8,3.5,4.2
09-01-2026,10:16:00,CNR0027481,Successful,CUST46743,eBike,MG Road,Shivajinagar,8.9,6.7,No,,No,,No,,226.98,11.4,4.8,4.4
12-01-2026,23:23:00,CNR0027482,Successful,CUST67033,Prime Sedan,Vidyaranyapura,Yelahanka,8.8,5.9,No,,No,,No,,867.95,25.2,4.1,4.7
22-01-2026,19:12:00,CNR0027483,Successful,CUST86135,Auto,Mahadevapura,Hebbal,6.6,4.6,No,,No,,No,,811.81,4.3,4.8,4.9
06-01-2026,11:01:00,CNR0027484,Successful,CUST59458,Prime Sedan,Richmond Town,HSR Layout,5.6,7.7,No,,No,,No,,437.95,17,4.3,4.5
01-01-2026,15:39:00,CNR0027485,Cancelled by Driver,CUST56861,Auto,Kamakhya,Jayanagar,,,No,,Yes,The customer was coughing/sick,No,,697.56,,,
29-01-2026,01:51:00,CNR0027486,Successful,CUST66580,Mini,Vidyaranyapura,Ulsoor,9.2,6.7,No,,No,,No,,376.25,11.1,3.9,3.9
20-01-2026,16:40:00,CNR0027487,Successful,CUST90494,Auto,JP Nagar,MG Road,9.2,5.3,No,,No,,No,,1980.16,12.7,3.5,3.5
09-01-2026,17:39:00,CNR0027488,Incomplete,CUST20574,Bike,Chickpet,Devanahalli,,,No,,No,,Yes,Other Issue,369.79,,,
12-01-2026,00:28:00,CNR0027489,Incomplete,CUST63615,Prime Plus,Devanahalli,Jakkur,,,No,,No,,Yes,Vehicle Breakdown,689.32,,,
06-01-2026,15:45:00,CNR0027490,Successful,CUST31273,Bike,Richmond Town,Koramangala,7.3,6.5,No,,No,,No,,380.78,27.5,4.5,3.6
05-01-2026,09:51:00,CNR0027491,Successful,CUST22889,Bike,Kamakhya,Hebbal,5.4,5.9,No,,No,,No,,680.03,17,3.6,3.6
01-01-2026,01:37:00,CNR0027492,Successful,CUST34785,Prime Plus,Ulsoor,Yelahanka,7.4,7.5,No,,No,,No,,925.33,7,3.9,4.4
21-01-2026,10:38:00,CNR0027493,Successful,CUST93152,Bike,Indiranagar,MG Road,10.4,6.4,No,,No,,No,,110.52,5.4,4.4,3.5
26-01-2026,11:16:00,CNR0027494,Cancelled by Customer,CUST50084,Auto,Basavanagudi,Whitefield,,,Yes,Wrong Address,No,,No,,993.92,,,
07-01-2026,20:43:00,CNR0027495,Cancelled by Customer,CUST66328,Auto,Yelahanka,Vijayanagar,,,Yes,AC is not working,No,,No,,775.88,,,
09-01-2026,23:43:00,CNR0027496,Incomplete,CUST58628,eBike,Outer Ring Road,Yelahanka,,,No,,No,,Yes,Vehicle Breakdown,930.46,,,
26-01-2026,11:38:00,CNR0027497,Successful,CUST88489,Bike,Varthur,Rajajinagar,11.5,5.1,No,,No,,No,,105.83,21.9,3.9,3.8
13-01-2026,20:57:00,CNR0027498,Successful,CUST49495,Prime Plus,Jakkur,Richmond Town,5.2,7.4,No,,No,,No,,915.99,22.6,3.7,3.8
11-01-2026,23:58:00,CNR0027499,Successful,CUST40905,Prime Plus,Rachenahalli,Hosur Road,10.2,6.3,No,,No,,No,,265.2,15.4,4.9,4.1
22-01-2026,06:06:00,CNR0027500,Successful,CUST34076,Prime Plus,Indiranagar,Kamakhya,8.9,4.3,No,,No,,No,,300.36,6.2,4.9,4.6
22-01-2026,15:30:00,CNR0027501,Cancelled by Customer,CUST24977,eBike,Hebbal,Rachenahalli,,,Yes,Driver is not moving towards pickup location,No,,No,,875.35,,,
31-01-2026,12:42:00,CNR0027502,Incomplete,CUST45036,Prime Sedan,Rachenahalli,Ulsoor,,,No,,No,,Yes,Vehicle Breakdown,202.67,,,
13-01-2026,06:43:00,CNR0027503,Incomplete,CUST65933,Bike,Mahadevapura,Kolar Road,,,No,,No,,Yes,Vehicle Breakdown,204.62,,,
14-01-2026,16:30:00,CNR0027504,Successful,CUST16028,Auto,Bagalur,JP Nagar,9.6,7.7,No,,No,,No,,550.51,4.7,4.7,4.3
18-01-2026,05:54:00,CNR0027505,Successful,CUST14592,eBike,Shivajinagar,Devanahalli,12.2,5.3,No,,No,,No,,984.44,8.4,3.8,3.7
06-01-2026,09:00:00,CNR0027506,Successful,CUST52603,Prime Sedan,Bannerghatta Road,Indiranagar,9.9,6.8,No,,No,,No,,264.58,9.7,3.9,4.3
04-01-2026,03:00:00,CNR0027507,Successful,CUST45729,eBike,Banaswadi,Mahadevapura,8.5,5.7,No,,No,,No,,893.05,2.1,3.9,4.6
05-01-2026,21:00:00,CNR0027508,Successful,CUST60338,Mini,Marathahalli,Vijayanagar,6.9,3.7,No,,No,,No,,913.86,20.8,3.7,4.8
25-01-2026,17:49:00,CNR0027509,Successful,CUST28136,Mini,JP Nagar,Kolar Road,7.7,6.7,No,,No,,No,,621.75,21.5,4.2,3.7
16-01-2026,02:35:00,CNR0027510,Successful,CUST73733,eBike,Cubbon Park,Bagalur,7.7,4.1,No,,No,,No,,577.78,26.4,4.6,4.3
15-01-2026,03:05:00,CNR0027511,Incomplete,CUST13512,Bike,MG Road,Jayanagar,,,No,,No,,Yes,Vehicle Breakdown,501.36,,,
